"species","gmin","genotype","datasource","citation","crop"
"Triticum turgidum var. durum",20.96629213,"Deir Alla","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",23.79775281,"Hamari","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",14.40449438,"Bidi 17","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",13.37078652,"Gam Goum Rekham","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",10.6741573,"Hedba","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",17.95505618,"Oued Zenaty","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",17.7752809,"Clairdoc","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",12.38202247,"Durelle","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",15.34831461,"Acsad 65","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",18.2247191,"Cocorit C-71","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",30.45811185,"Deir Alla","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",14.14187318,"Hamari","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",15.14179831,"Haurani","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",20.12824736,"Bidi 17","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",15.04327319,"Gam Goum Rekham","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",15.85123905,"Oued Zenaty","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",17.27760725,"Clairdoc","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",15.48648649,"Durelle","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",16.21000225,"Acsad 65","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",24.81223329,"Cocorit C-71","araus1991","Araus Febrero, et al. (1991)","Wheat"
"Triticum turgidum var. durum",28.57142857,"Deir Alla","araus1991","Araus Febrero, et al. (1991)","Wheat"
