"species","gmin","datasource","citation"
"Picea abies",1.91546321695238,"anfodillo2002","Anfodillo Bisceglie, et al. (2002)"
"Pinus cembra",0.723912377163668,"anfodillo2002","Anfodillo Bisceglie, et al. (2002)"
"Triticum turgidum var. durum",19.063471153871,"araus1991","Araus Febrero, et al. (1991)"
"Theobroma cacao",2.337,"arnold2007","Arnold and Engelbrecht (2007)"
"Avena sativa",1.755420054,"bengtson1978","Bengtson Larsson, et al. (1978)"
"Eucalyptus parramattensis",13.4798783697586,"blackman0000","Blackman, unpublished."
"Abies lasiocarpa",4.77942857142857,"boyce2000","Boyce and Saunders (2000)"
"Pinus engelmannii",4.95372750642674,"boyce2000","Boyce and Saunders (2000)"
"Pinus resinosa",11.5938303341902,"boyce2003","Boyce Friedland, et al. (2003)"
"Pinus rubens",2.96872322193659,"boyce2003","Boyce Friedland, et al. (2003)"
"Pinus strobus",3.16195372750643,"boyce2003","Boyce Friedland, et al. (2003)"
"Tsuga canadensis",11.8704761904762,"boyce2003","Boyce Friedland, et al. (2003)"
"Abies sibirica",3.0446,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Afrocarpus falcatus",1.381,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Agathis robusta",2.8048,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Araucaria bidwillii",1.3021,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Araucaria cunninghamii",2.0381,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Araucaria heterophylla",0.8883,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Athrotaxis selaginoides",5.6318,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Austrocedrus chilensis",2.8138,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Austrotaxus spicata",4.7076,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Callitris rhomboidea",1.0775,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Calocedrus decurrens",1.7482,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Cedrus deodara",2.3988,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Cephalotaxus fortunei",2.27,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Cunninghamia lanceolata",4.3303,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Cupressus cashmeriana",3.3092,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Dacrycarpus dacrydioides",7.2789,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Diselma archeri",9.1815,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Fokienia hodginsii",1.2458,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Glyptostrobus pensilis",25.3034,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Hesperocyparis macrocarpa",1.8732,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Juniperus chinensis",2.6528,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Lagarostrobos franklinii",26.912,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Larix kaempferi",4.3161,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Metasequoia glyptostroboides",22.0159,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Microbiota decussata",3.5097,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Papuacedrus papuana",10.2202,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Phyllocladus trichomanoides",5.0406,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Picea abies",2.8333,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Pilgerodendron uviferum",7.3883,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Pinus radiata",1.3468,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Platycladus orientalis",3.3425,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Podocarpus drouynianus",1.4128,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Prumnopitys ladei",3.2671,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Saxegothaea conspicua",5.9308,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Sciadopitys verticillata",6.6554,"brodribb2014","Brodribb McAdam, et al. (2014)"
"Sequoiadendron giganteum",2.709,"brodribb2014","Brodribb McAdam, et al. (2014)"
