"species","genotype","leaf","treatment","gmin","units","area"
"Triticum turgidum var. durum","Deir Alla","fourth leaf","control",20.96629213,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Hamari","fourth leaf","control",23.79775281,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Bidi 17","fourth leaf","control",14.40449438,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Gam Goum Rekham","fourth leaf","control",13.37078652,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Hedba","fourth leaf","control",10.6741573,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Oued Zenaty","fourth leaf","control",17.95505618,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Clairdoc","fourth leaf","control",17.7752809,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Durelle","fourth leaf","control",12.38202247,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Acsad 65","fourth leaf","control",15.34831461,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Cocorit C-71","fourth leaf","control",18.2247191,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Deir Alla","fourth leaf","waxes removed",39.40234282,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Hamari","fourth leaf","waxes removed",39.12084628,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Bidi 17","fourth leaf","waxes removed",44.52785082,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Gam Goum Rekham","fourth leaf","waxes removed",38.87580684,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Hedba","fourth leaf","waxes removed",43.73356443,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Oued Zenaty","fourth leaf","waxes removed",43.51123596,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Clairdoc","fourth leaf","waxes removed",47.76416448,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Durelle","fourth leaf","waxes removed",41.94776476,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Acsad 65","fourth leaf","waxes removed",39.75316758,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Cocorit C-71","fourth leaf","waxes removed",42.0254602,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Deir Alla","first node","control",30.45811185,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Hamari","first node","control",14.14187318,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Haurani","first node","control",15.14179831,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Bidi 17","first node","control",20.12824736,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Gam Goum Rekham","first node","control",15.04327319,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Oued Zenaty","first node","control",15.85123905,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Clairdoc","first node","control",17.27760725,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Durelle","first node","control",15.48648649,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Acsad 65","first node","control",16.21000225,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Cocorit C-71","first node","control",24.81223329,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Deir Alla","first node","waxes removed",74.85313568,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Hamari","first node","waxes removed",59.92413466,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Haurani","first node","waxes removed",66.61725437,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Bidi 17","first node","waxes removed",64.738589,"mmol m-2 s-1","projected"
"Triticum turgidum var. durum","Gam Goum Rekham","first node","waxes removed",61.4294627,"mmol m-2 s-1","projected"
