species,chamber,rep,growth_T,ch_temp,gmin,LMA,area,units
Eucalyptus parramattensis,1,1,amb,17.5,6.225279514,175.5802809,projected,mmol m-2 s-1
Eucalyptus parramattensis,1,2,amb,17.5,5.651443061,165.1380105,projected,mmol m-2 s-1
Eucalyptus parramattensis,3,1,amb,17.5,3.648963664,162.2196378,projected,mmol m-2 s-1
Eucalyptus parramattensis,3,2,amb,17.5,12.16157447,164.0212002,projected,mmol m-2 s-1
Eucalyptus parramattensis,5,1,amb,17.5,9.09862599,196.2469352,projected,mmol m-2 s-1
Eucalyptus parramattensis,5,2,amb,17.5,7.373987613,182.4908894,projected,mmol m-2 s-1
Eucalyptus parramattensis,7,1,amb,17.5,1.47554654,142.019052,projected,mmol m-2 s-1
Eucalyptus parramattensis,7,2,amb,17.5,3.712613464,165.0315854,projected,mmol m-2 s-1
Eucalyptus parramattensis,9,1,amb,17.5,5.546866565,180.4349534,projected,mmol m-2 s-1
Eucalyptus parramattensis,9,2,amb,17.5,2.674961864,182.8195658,projected,mmol m-2 s-1
Eucalyptus parramattensis,11,1,amb,17.5,10.73410668,157.8302345,projected,mmol m-2 s-1
Eucalyptus parramattensis,11,2,amb,17.5,9.097039705,177.0772454,projected,mmol m-2 s-1
Eucalyptus parramattensis,1,1,amb,20,7.556671413,219.740174,projected,mmol m-2 s-1
Eucalyptus parramattensis,1,2,amb,20,12.32791431,179.1624332,projected,mmol m-2 s-1
Eucalyptus parramattensis,3,1,amb,20,3.850129501,164.4103065,projected,mmol m-2 s-1
Eucalyptus parramattensis,3,2,amb,20,3.249997621,156.4414466,projected,mmol m-2 s-1
Eucalyptus parramattensis,5,1,amb,20,4.73697973,213.5388263,projected,mmol m-2 s-1
Eucalyptus parramattensis,5,2,amb,20,4.114232685,202.0451994,projected,mmol m-2 s-1
Eucalyptus parramattensis,7,1,amb,20,2.252545078,154.4241171,projected,mmol m-2 s-1
Eucalyptus parramattensis,7,2,amb,20,3.567860107,151.5198051,projected,mmol m-2 s-1
Eucalyptus parramattensis,9,1,amb,20,4.632124312,179.0483213,projected,mmol m-2 s-1
Eucalyptus parramattensis,9,2,amb,20,1.98318073,188.5323021,projected,mmol m-2 s-1
Eucalyptus parramattensis,11,1,amb,20,7.678106748,150.714096,projected,mmol m-2 s-1
Eucalyptus parramattensis,11,2,amb,20,5.973924766,155.4031728,projected,mmol m-2 s-1
Eucalyptus parramattensis,1,1,amb,22.5,15.16574967,166.9357664,projected,mmol m-2 s-1
Eucalyptus parramattensis,3,1,amb,22.5,3.880409921,161.0156696,projected,mmol m-2 s-1
Eucalyptus parramattensis,3,2,amb,22.5,9.770271491,150.1942755,projected,mmol m-2 s-1
Eucalyptus parramattensis,5,1,amb,22.5,3.79950769,183.7686172,projected,mmol m-2 s-1
Eucalyptus parramattensis,5,2,amb,22.5,9.14760318,177.5938834,projected,mmol m-2 s-1
Eucalyptus parramattensis,7,1,amb,22.5,4.993822386,163.3195497,projected,mmol m-2 s-1
Eucalyptus parramattensis,7,2,amb,22.5,2.787044333,162.3637455,projected,mmol m-2 s-1
Eucalyptus parramattensis,9,1,amb,22.5,2.982929468,173.5844978,projected,mmol m-2 s-1
Eucalyptus parramattensis,9,2,amb,22.5,3.675620865,190.9466067,projected,mmol m-2 s-1
Eucalyptus parramattensis,11,1,amb,22.5,10.78185353,148.4652101,projected,mmol m-2 s-1
Eucalyptus parramattensis,11,2,amb,22.5,10.2037452,172.08772,projected,mmol m-2 s-1
Eucalyptus parramattensis,1,1,amb,25,14.94569017,187.5730791,projected,mmol m-2 s-1
Eucalyptus parramattensis,3,1,amb,25,4.055136173,159.0737883,projected,mmol m-2 s-1
Eucalyptus parramattensis,3,2,amb,25,6.901459577,163.8260952,projected,mmol m-2 s-1
Eucalyptus parramattensis,5,1,amb,25,3.081204213,134.6263209,projected,mmol m-2 s-1
Eucalyptus parramattensis,5,2,amb,25,7.899220664,319.8540518,projected,mmol m-2 s-1
Eucalyptus parramattensis,7,1,amb,25,4.939819883,155.7225049,projected,mmol m-2 s-1
Eucalyptus parramattensis,7,2,amb,25,4.188723119,158.9331493,projected,mmol m-2 s-1
Eucalyptus parramattensis,9,1,amb,25,5.796779016,182.9765896,projected,mmol m-2 s-1
Eucalyptus parramattensis,9,2,amb,25,7.400361636,196.9566215,projected,mmol m-2 s-1
Eucalyptus parramattensis,11,1,amb,25,17.37530222,162.5719592,projected,mmol m-2 s-1
Eucalyptus parramattensis,11,2,amb,25,14.13927879,163.1224345,projected,mmol m-2 s-1
Eucalyptus parramattensis,1,1,amb,27.5,5.100433277,179.3415232,projected,mmol m-2 s-1
Eucalyptus parramattensis,1,2,amb,27.5,9.068508293,184.6311785,projected,mmol m-2 s-1
Eucalyptus parramattensis,3,1,amb,27.5,10.48230949,148.2242335,projected,mmol m-2 s-1
Eucalyptus parramattensis,3,2,amb,27.5,7.551406913,150.5484716,projected,mmol m-2 s-1
Eucalyptus parramattensis,5,1,amb,27.5,8.385368177,199.4882487,projected,mmol m-2 s-1
Eucalyptus parramattensis,5,2,amb,27.5,10.61395213,180.5250986,projected,mmol m-2 s-1
Eucalyptus parramattensis,7,1,amb,27.5,3.744414481,145.4538728,projected,mmol m-2 s-1
Eucalyptus parramattensis,7,2,amb,27.5,4.00143384,159.0674082,projected,mmol m-2 s-1
Eucalyptus parramattensis,9,1,amb,27.5,2.577597008,166.1086292,projected,mmol m-2 s-1
Eucalyptus parramattensis,9,2,amb,27.5,2.517692496,183.1430858,projected,mmol m-2 s-1
Eucalyptus parramattensis,11,1,amb,27.5,4.333792392,166.1847716,projected,mmol m-2 s-1
Eucalyptus parramattensis,11,2,amb,27.5,15.3033549,151.4232937,projected,mmol m-2 s-1
Eucalyptus parramattensis,2,1,warm,17.5,1.344176465,134.8364543,projected,mmol m-2 s-1
Eucalyptus parramattensis,2,2,warm,17.5,1.576951139,132.5749289,projected,mmol m-2 s-1
Eucalyptus parramattensis,4,1,warm,17.5,2.73384429,140.5791541,projected,mmol m-2 s-1
Eucalyptus parramattensis,4,2,warm,17.5,2.257302006,133.5356167,projected,mmol m-2 s-1
Eucalyptus parramattensis,6,1,warm,17.5,2.242275194,134.1299051,projected,mmol m-2 s-1
Eucalyptus parramattensis,6,2,warm,17.5,1.656869978,127.7397497,projected,mmol m-2 s-1
Eucalyptus parramattensis,8,1,warm,17.5,2.015009231,150.0138597,projected,mmol m-2 s-1
Eucalyptus parramattensis,8,2,warm,17.5,1.331222925,139.607604,projected,mmol m-2 s-1
Eucalyptus parramattensis,10,1,warm,17.5,6.404419089,146.7100568,projected,mmol m-2 s-1
Eucalyptus parramattensis,10,2,warm,17.5,9.487415217,145.0570356,projected,mmol m-2 s-1
Eucalyptus parramattensis,12,1,warm,17.5,2.349206101,153.8679188,projected,mmol m-2 s-1
Eucalyptus parramattensis,12,2,warm,17.5,1.435293527,144.3543603,projected,mmol m-2 s-1
Eucalyptus parramattensis,2,1,warm,20,1.538286658,130.6455223,projected,mmol m-2 s-1
Eucalyptus parramattensis,2,2,warm,20,1.945109055,130.7115054,projected,mmol m-2 s-1
Eucalyptus parramattensis,4,1,warm,20,1.869597637,126.5693753,projected,mmol m-2 s-1
Eucalyptus parramattensis,4,2,warm,20,2.173409279,143.0423826,projected,mmol m-2 s-1
Eucalyptus parramattensis,6,1,warm,20,1.89825051,139.9074628,projected,mmol m-2 s-1
Eucalyptus parramattensis,6,2,warm,20,1.641579027,138.6343425,projected,mmol m-2 s-1
Eucalyptus parramattensis,8,1,warm,20,1.410986875,159.7845114,projected,mmol m-2 s-1
Eucalyptus parramattensis,8,2,warm,20,1.454132383,157.3041158,projected,mmol m-2 s-1
Eucalyptus parramattensis,10,1,warm,20,5.793059437,129.3940571,projected,mmol m-2 s-1
Eucalyptus parramattensis,10,2,warm,20,6.362439494,125.0017051,projected,mmol m-2 s-1
Eucalyptus parramattensis,12,1,warm,20,2.144422498,133.937124,projected,mmol m-2 s-1
Eucalyptus parramattensis,12,2,warm,20,2.129554675,154.8904437,projected,mmol m-2 s-1
Eucalyptus parramattensis,2,1,warm,22.5,2.916698919,143.4835216,projected,mmol m-2 s-1
Eucalyptus parramattensis,2,2,warm,22.5,2.582569362,148.707306,projected,mmol m-2 s-1
Eucalyptus parramattensis,4,1,warm,22.5,1.931756267,143.8367576,projected,mmol m-2 s-1
Eucalyptus parramattensis,4,2,warm,22.5,2.917447927,143.9353366,projected,mmol m-2 s-1
Eucalyptus parramattensis,6,1,warm,22.5,1.631290829,117.2378329,projected,mmol m-2 s-1
Eucalyptus parramattensis,6,2,warm,22.5,2.149784802,129.9375683,projected,mmol m-2 s-1
Eucalyptus parramattensis,8,1,warm,22.5,1.69349239,135.4547816,projected,mmol m-2 s-1
Eucalyptus parramattensis,8,2,warm,22.5,2.10143456,144.0564749,projected,mmol m-2 s-1
Eucalyptus parramattensis,10,1,warm,22.5,6.906872651,149.6677634,projected,mmol m-2 s-1
Eucalyptus parramattensis,10,2,warm,22.5,9.095397483,132.1213532,projected,mmol m-2 s-1
Eucalyptus parramattensis,12,1,warm,22.5,2.363250124,136.3770554,projected,mmol m-2 s-1
Eucalyptus parramattensis,12,2,warm,22.5,1.448078256,158.2837192,projected,mmol m-2 s-1
Eucalyptus parramattensis,2,1,warm,25,3.239169288,130.1685375,projected,mmol m-2 s-1
Eucalyptus parramattensis,2,2,warm,25,2.919770027,125.9161318,projected,mmol m-2 s-1
Eucalyptus parramattensis,4,1,warm,25,3.276607484,140.2396277,projected,mmol m-2 s-1
Eucalyptus parramattensis,4,2,warm,25,3.696989354,150.9202004,projected,mmol m-2 s-1
Eucalyptus parramattensis,6,1,warm,25,1.638027927,128.7146319,projected,mmol m-2 s-1
Eucalyptus parramattensis,6,2,warm,25,2.356074313,127.6706234,projected,mmol m-2 s-1
Eucalyptus parramattensis,8,1,warm,25,2.355652926,157.4084273,projected,mmol m-2 s-1
Eucalyptus parramattensis,8,2,warm,25,2.124323145,147.323112,projected,mmol m-2 s-1
Eucalyptus parramattensis,10,1,warm,25,8.303723774,121.8260369,projected,mmol m-2 s-1
Eucalyptus parramattensis,10,2,warm,25,4.854293915,133.1615887,projected,mmol m-2 s-1
Eucalyptus parramattensis,12,1,warm,25,1.930593513,131.9711335,projected,mmol m-2 s-1
Eucalyptus parramattensis,12,2,warm,25,2.436209963,142.6241269,projected,mmol m-2 s-1
Eucalyptus parramattensis,2,1,warm,27.5,2.164852619,145.4325987,projected,mmol m-2 s-1
Eucalyptus parramattensis,2,2,warm,27.5,1.956539901,130.5342484,projected,mmol m-2 s-1
Eucalyptus parramattensis,4,1,warm,27.5,1.625121731,135.1886649,projected,mmol m-2 s-1
Eucalyptus parramattensis,4,2,warm,27.5,2.343639526,125.5680922,projected,mmol m-2 s-1
Eucalyptus parramattensis,6,1,warm,27.5,2.69306758,131.2631576,projected,mmol m-2 s-1
Eucalyptus parramattensis,6,2,warm,27.5,3.063687378,121.1145363,projected,mmol m-2 s-1
Eucalyptus parramattensis,8,1,warm,27.5,3.053509435,147.1037529,projected,mmol m-2 s-1
Eucalyptus parramattensis,8,2,warm,27.5,3.385091539,167.1907431,projected,mmol m-2 s-1
Eucalyptus parramattensis,10,1,warm,27.5,3.330211261,143.6563241,projected,mmol m-2 s-1
Eucalyptus parramattensis,10,2,warm,27.5,6.308135263,129.4530107,projected,mmol m-2 s-1
Eucalyptus parramattensis,12,1,warm,27.5,2.788106256,150.4439925,projected,mmol m-2 s-1
Eucalyptus parramattensis,12,2,warm,27.5,2.068694463,144.0253875,projected,mmol m-2 s-1
