Family,species,gmin,units,area
Araucariaceae,Agathis robusta,2.8048,mmol m-2 s-1,projected
Araucariaceae,Araucaria bidwillii,1.3021,mmol m-2 s-1,projected
Araucariaceae,Araucaria cunninghamii,2.0381,mmol m-2 s-1,projected
Araucariaceae,Araucaria heterophylla,0.8883,mmol m-2 s-1,projected
Araucariaceae,Wollemia nobilis,2.3596,mmol m-2 s-1,projected
Basal Cupressaceaea,Athrotaxis selaginoides,5.6318,mmol m-2 s-1,projected
Basal Cupressaceaea,Cunninghamia lanceolata,4.3303,mmol m-2 s-1,projected
Basal Cupressaceaea,Glyptostrobus pensilis,25.3034,mmol m-2 s-1,projected
Basal Cupressaceaea,Metasequoia glyptostroboides,22.0159,mmol m-2 s-1,projected
Basal Cupressaceaea,Sequoiadendron giganteum,2.709,mmol m-2 s-1,projected
Cupressaceae,Austrocedrus chilensis,2.8138,mmol m-2 s-1,projected
Cupressaceae,Callitris rhomboidea,1.0775,mmol m-2 s-1,projected
Cupressaceae,Calocedrus decurrens,1.7482,mmol m-2 s-1,projected
Cupressaceae,Cupressus cashmeriana,3.3092,mmol m-2 s-1,projected
Cupressaceae,Diselma archeri,9.1815,mmol m-2 s-1,projected
Cupressaceae,Fokienia hodginsii,1.2458,mmol m-2 s-1,projected
Cupressaceae,Hesperocyparis macrocarpa,1.8732,mmol m-2 s-1,projected
Cupressaceae,Juniperus chinensis,2.6528,mmol m-2 s-1,projected
Cupressaceae,Papuacedrus papuana,10.2202,mmol m-2 s-1,projected
Cupressaceae,Pilgerodendron uviferum,7.3883,mmol m-2 s-1,projected
Cupressaceae,Thuja occidentalis,6.0948,mmol m-2 s-1,projected
Cupressaceae,Thujopsis dolabrata,1.9128,mmol m-2 s-1,projected
Cupressaceae,Widdringtonia cedarbergensis,9.2878,mmol m-2 s-1,projected
Pinaceae,Abies sibirica,3.0446,mmol m-2 s-1,projected
Pinaceae,Cedrus deodara,2.3988,mmol m-2 s-1,projected
Pinaceae,Larix kaempferi,4.3161,mmol m-2 s-1,projected
Pinaceae,Picea abies,2.8333,mmol m-2 s-1,projected
Pinaceae,Pinus radiata,1.3468,mmol m-2 s-1,projected
Pinaceae,Tsuga heterophylla,2.1942,mmol m-2 s-1,projected
Podocarpaceae,Afrocarpus falcatus,1.381,mmol m-2 s-1,projected
Podocarpaceae,Dacrycarpus dacrydioides,7.2789,mmol m-2 s-1,projected
Podocarpaceae,Lagarostrobos franklinii,26.912,mmol m-2 s-1,projected
Podocarpaceae,Phyllocladus trichomanoides,5.0406,mmol m-2 s-1,projected
Podocarpaceae,Podocarpus drouynianus,1.4128,mmol m-2 s-1,projected
Podocarpaceae,Prumnopitys ladei,3.2671,mmol m-2 s-1,projected
Podocarpaceae,Saxegothaea conspicua,5.9308,mmol m-2 s-1,projected
Sciadopityaceae,Sciadopitys verticillata,6.6554,mmol m-2 s-1,projected
Taxaceae,Austrotaxus spicata,4.7076,mmol m-2 s-1,projected
Taxaceae,Cephalotaxus fortunei,2.27,mmol m-2 s-1,projected
Taxaceae,Taxus baccata,2.699,mmol m-2 s-1,projected
Cupressaceae,Platycladus orientalis,3.3425,mmol m-2 s-1,projected
Cupressaceae,Microbiota decussata,3.5097,mmol m-2 s-1,projected
