species,DOY,leafdevelopment,gmin,units,area
Quercus muehlenbergii,120.7369023,expanding,11.91256432,mmol m-2 s-1,projected
Quercus muehlenbergii,123.4726125,expanding,10.53169361,mmol m-2 s-1,projected
Quercus muehlenbergii,126.8311255,expanding,10.02809911,mmol m-2 s-1,projected
Quercus muehlenbergii,129.8964834,expanding,8.720942962,mmol m-2 s-1,projected
Quercus muehlenbergii,132.819521,expanding,10.26019049,mmol m-2 s-1,projected
Quercus muehlenbergii,135.9213711,expanding,8.223187242,mmol m-2 s-1,projected
Quercus muehlenbergii,142.0155944,expanding,6.338722038,mmol m-2 s-1,projected
Quercus muehlenbergii,145.0918999,developed,4.812611758,mmol m-2 s-1,projected
Quercus muehlenbergii,149.2009391,developed,2.631828632,mmol m-2 s-1,projected
Quercus muehlenbergii,180.1865976,developed,2.918658541,mmol m-2 s-1,projected
Quercus muehlenbergii,257.0467954,developed,5.71470277,mmol m-2 s-1,projected
Quercus macrocarpa,120.8038049,expanding,17.24117797,mmol m-2 s-1,projected
Quercus macrocarpa,123.7256261,expanding,12.13808707,mmol m-2 s-1,projected
Quercus macrocarpa,129.8964834,expanding,8.720942962,mmol m-2 s-1,projected
Quercus macrocarpa,132.7757302,expanding,11.13600701,mmol m-2 s-1,projected
Quercus macrocarpa,135.5965892,expanding,14.71882641,mmol m-2 s-1,projected
Quercus macrocarpa,141.9024681,expanding,8.601248039,mmol m-2 s-1,projected
Quercus macrocarpa,144.7330584,developed,5.322774879,mmol m-2 s-1,projected
Quercus macrocarpa,149.1024097,developed,4.602415794,mmol m-2 s-1,projected
Quercus macrocarpa,180.0260312,developed,6.129985768,mmol m-2 s-1,projected
Quercus macrocarpa,256.6332153,developed,7.319636536,mmol m-2 s-1,projected
