gmin,method,species,units,area
14,A,Abies alba,10^5 ms-1,allsided
3,E2,Abies grandis,10^5 ms-1,allsided
1.2,D,Abies lasiocarpa,10^5 ms-1,allsided
7,E2,Abies magnifica,10^5 ms-1,allsided
32,E2,Abies procera,10^5 ms-1,allsided
1.4,E1,Abies sibirica,10^5 ms-1,allsided
5.3,C,Acer platanoides,10^5 ms-1,allsided
6.7,C,Acer platanoides,10^5 ms-1,allsided
4.4,D,Acer platanoides,10^5 ms-1,allsided
18,C,Acer pseudoplatanus,10^5 ms-1,allsided
2,A,Acer pseudoplatanus,10^5 ms-1,allsided
3.9,D,Acer pseudoplatanus,10^5 ms-1,allsided
17,C,Acer saccharum,10^5 ms-1,allsided
8,E1,Acer saccharum,10^5 ms-1,allsided
6.2,D,Acer saccharum,10^5 ms-1,allsided
10,C,Acer syriacum,10^5 ms-1,allsided
1.7,D,Aechmea bracteata,10^5 ms-1,allsided
0.4,C,Aechmea fasciata,10^5 ms-1,allsided
1.2,D,Aechmea tillandsioides,10^5 ms-1,allsided
22,D,Allium ursinum,10^5 ms-1,allsided
0.7,C,Alocasia macrorrhiza,10^5 ms-1,allsided
1.3,D,Ananas comosus,10^5 ms-1,allsided
11,E1,Arachis hypogaea,10^5 ms-1,allsided
3.6,D,Arctostaphylos uva ursi,10^5 ms-1,allsided
7.4,D,Asarum europaeum,10^5 ms-1,allsided
6.9,D,Asarum europaeum,10^5 ms-1,allsided
5.6,C,Astragalus glycophyllos,10^5 ms-1,allsided
10,D,Avena sativa,10^5 ms-1,allsided
5,D,Beta vulgaris,10^5 ms-1,allsided
6.9,C,Betula pubescens,10^5 ms-1,allsided
1.2,C,Betula pubescens,10^5 ms-1,allsided
3.6,D,Betula pubescens,10^5 ms-1,allsided
7.4,C,Betula verrucosa,10^5 ms-1,allsided
7.9,D,Betula verrucosa,10^5 ms-1,allsided
0.8,D,Billbergia euphemiae,10^5 ms-1,allsided
0.9,D,Billbergia pyramidalis,10^5 ms-1,allsided
13,E1,Brachypodium pinnatum,10^5 ms-1,allsided
2.2,D,Bromelia balansae,10^5 ms-1,allsided
3.5,D,Cajanus cajan,10^5 ms-1,allsided
28,D,Caltha palustris,10^5 ms-1,allsided
18,D,Caltha palustris,10^5 ms-1,allsided
14,D,Camellia sinensis,10^5 ms-1,allsided
0.5,A,Camellia sinensis,10^5 ms-1,allsided
49,E1,Capsicum annuum,10^5 ms-1,allsided
9,E1,Carex alba,10^5 ms-1,allsided
50,E1,Carex aquatilis,10^5 ms-1,allsided
36,D,Carex curvula,10^5 ms-1,allsided
26,E1,Carex flocca,10^5 ms-1,allsided
0.9,D,Catopsis berteroniana,10^5 ms-1,allsided
14,E2,Ceanothus incanus,10^5 ms-1,allsided
36,E2,Ceanothus thyrsiflorus,10^5 ms-1,allsided
4,E2,Cerastes ferrisae,10^5 ms-1,allsided
3,E2,Cerastes ramulosa,10^5 ms-1,allsided
17,E1,Cercis canadensis,10^5 ms-1,allsided
15,E1,Chloris gayana,10^5 ms-1,allsided
7.1,C,Circaea lutetiana,10^5 ms-1,allsided
4.7,A,Citrus aurantium,10^5 ms-1,allsided
1,C,Citrus aurantium,10^5 ms-1,allsided
0.6,A,Citrus aurantium,10^5 ms-1,allsided
2,A,Citrus limon,10^5 ms-1,allsided
21,E1,Citrus mitis,10^5 ms-1,allsided
17,E1,Citrus mitis,10^5 ms-1,allsided
18,E1,Citrus mitis,10^5 ms-1,allsided
0.1,A,Clivia muniata,10^5 ms-1,allsided
0.5,A,Clivia muniata,10^5 ms-1,allsided
0.2,A,Coffea arabica,10^5 ms-1,allsided
14,D,Coffea arabica,10^5 ms-1,allsided
15,C,Coffea arabica,10^5 ms-1,allsided
6.5,C,Coffea robusta,10^5 ms-1,allsided
25,E1,Coix lacryma-jobi,10^5 ms-1,allsided
1.6,D,Coleus blumei,10^5 ms-1,allsided
8.3,D,Convolvulus arvensis,10^5 ms-1,allsided
9.9,D,Convolvulus arvensis,10^5 ms-1,allsided
15,D,Coronilla varia,10^5 ms-1,allsided
16,D,Coronilla varia,10^5 ms-1,allsided
1.7,C,Corylus avellana,10^5 ms-1,allsided
3.9,D,Corylus avellana,10^5 ms-1,allsided
2,C,Corylus avellana,10^5 ms-1,allsided
13,D,Corylus avellana,10^5 ms-1,allsided
10,E1,Corylus avellana,10^5 ms-1,allsided
2,D,Cryptanthus acaulis,10^5 ms-1,allsided
75,E1,Cucumis sativus,10^5 ms-1,allsided
2.7,A,Cydonia oblongata,10^5 ms-1,allsided
63,E3,Datura stramonium,10^5 ms-1,allsided
2,C,Delphinium,10^5 ms-1,allsided
13,D,Diplotaxis tenuifolia,10^5 ms-1,allsided
4.5,E2,Echeveria secunda,10^5 ms-1,allsided
26,C,Elatostema sessile,10^5 ms-1,allsided
36,D,Epilobium hirsutum,10^5 ms-1,allsided
