species,gmin,units,area
Allium ursinum,22,10^5 ms-1,allsided
Asarum europaeum,7.4,10^5 ms-1,allsided
Caltha palustris,28,10^5 ms-1,allsided
Carex curvula,36,10^5 ms-1,allsided
Convolvulus arvensis,8.3,10^5 ms-1,allsided
Diplotaxis tenuifolia,13,10^5 ms-1,allsided
Fagus sylvatica ,4.1,10^5 ms-1,allsided
Festuca halleri,26,10^5 ms-1,allsided
Fraxinus excelsior,4.8,10^5 ms-1,allsided
Impatiens parviflora,27,10^5 ms-1,allsided
Juglans regia,4.1,10^5 ms-1,allsided
Laburnum anagyroides,25,10^5 ms-1,allsided
Ligustrum vulgare,6.6,10^5 ms-1,allsided
Oxalis acetosella,5.3,10^5 ms-1,allsided
Paeonia officinalis,10,10^5 ms-1,allsided
Phyllitis scolopendrium,10,10^5 ms-1,allsided
Pinus cembra,1.8,10^5 ms-1,allsided
Pinus sylvestris,3,10^5 ms-1,allsided
Prenanthes purpurea,5.5,10^5 ms-1,allsided
Prunus avium,0.3,10^5 ms-1,allsided
Pulmonaria officinalis,10,10^5 ms-1,allsided
Quercus robur,6.9,10^5 ms-1,allsided
Ruta graveolens,11,10^5 ms-1,allsided
Stachys recta,13,10^5 ms-1,allsided
Tilia cordata,7.3,10^5 ms-1,allsided
Triticum vulgaris,24,10^5 ms-1,allsided
Vaccinium myrtillus,7.6,10^5 ms-1,allsided
Vaccinium uliginosum,12.5,10^5 ms-1,allsided
Vicia sepum,6.6,10^5 ms-1,allsided
Zea mays,12,10^5 ms-1,allsided
