species,comments,gmin,area,units
Veronica beccabunga,,4.55026455,projected,mmol m-2 s-1
Pulmonaria officinalis,,3.28042328,projected,mmol m-2 s-1
Impatiens noli tangere,,3.174603175,projected,mmol m-2 s-1
Caltha palustris,,2.91005291,projected,mmol m-2 s-1
Coronilla varia,,2.486772487,projected,mmol m-2 s-1
Sedum maximum,,2.275132275,projected,mmol m-2 s-1
Corylus avellana,,2.010582011,projected,mmol m-2 s-1
Stellaria nemorum,,1.851851852,projected,mmol m-2 s-1
Stachys recta,,1.693121693,projected,mmol m-2 s-1
Convolvulus arvensis,,1.587301587,projected,mmol m-2 s-1
Peucedanum cervaria,,1.587301587,projected,mmol m-2 s-1
Quercus robur,,1.428571429,projected,mmol m-2 s-1
Oxytropis pilosa,,1.375661376,projected,mmol m-2 s-1
Betula pendula,,1.26984127,projected,mmol m-2 s-1
Fagus sylvatica,sun,1.164021164,projected,mmol m-2 s-1
Asarum europaeum,,1.111111111,projected,mmol m-2 s-1
Prenanthes purpurea,,1.005291005,projected,mmol m-2 s-1
Rhododendron ferrugineum,,0.793650794,projected,mmol m-2 s-1
Fagus sylvatica,shade,0.740740741,projected,mmol m-2 s-1
Oxalis acetosella,,0.158730159,projected,mmol m-2 s-1
Arctostaphylos uva-ursi,,0.582010582,projected,mmol m-2 s-1
Picea excelsa,,0.195767196,projected,mmol m-2 s-1
Pinus sylvestris,current cohort,0.174603175,projected,mmol m-2 s-1
Hedera helix,,0.164021164,projected,mmol m-2 s-1
Opuntia camanchica,,0.024338624,projected,mmol m-2 s-1
