species,gmin,LMA,area,units
Cercocarpus betuloides,3.99,156,projected,mmol m-2 s-1
Comarostaphylis diversifolia,2.87,254,projected,mmol m-2 s-1
Hedera canariensis,0.44,78.1,projected,mmol m-2 s-1
Heteromeles arbutifolia,4.21,146,projected,mmol m-2 s-1
Quercus agrifolia,1.72,166,projected,mmol m-2 s-1
Camellia sasanqua,1.77,144,projected,mmol m-2 s-1
Helianthus annuus,18.3,56.2,projected,mmol m-2 s-1
Lantana camara,12,79,projected,mmol m-2 s-1
Magnolia grandiflora,3.88,180,projected,mmol m-2 s-1
Platanus racemosa,6.61,109,projected,mmol m-2 s-1
